1; 2023-06-15 15:14:32.736447; Первая запись; Начинаю делать промежуточную контрольную.
2; 2023-06-15 15:22:38; Ищу; Ищу id предыдущей записи
3; 2023-06-15 15:49:17; Третья запись; Делаю удаление
4; 2023-06-15 15:57:16; Какая запись?; Исправила 
5; 2023-06-16 13:44:09; запись 5; бчо тоуилрипу
6; 2023-06-16 13:44:48; запись 5; мыдьлопио
7; 2023-06-16 13:53:28; запись 8; ылдьптот
8; 2023-06-16 13:53:28; & C:/Users/Olesya/AppData/Local/Programs/Python/Python311/python.exe c:/GB/Programmer/Intermediate_test/1.Pyton/main.py; & C:/Users/Olesya/AppData/Local/Programs/Python/Python311/python.exe c:/GB/Programmer/Intermediate_test/1.Pyton/main.py
9; 2023-06-16 13:53:28; & C:/Users/Olesya/AppData/Local/Programs/Python/Python311/python.exe c:/GB/Programmer/Intermediate_test/1.Pyton/main.py; & C:/Users/Olesya/AppData/Local/Programs/Python/Python311/python.exe c:/GB/Programmer/Intermediate_test/1.Pyton/main.py
10; 2023-06-16 13:53:28; & C:/Users/Olesya/AppData/Local/Programs/Python/Python311/python.exe c:/GB/Programmer/Intermediate_test/1.Pyton/main.py; & C:/Users/Olesya/AppData/Local/Programs/Python/Python311/python.exe c:/GB/Programmer/Intermediate_test/1.Pyton/main.py
11; 2023-06-16 13:53:28; & C:/Users/Olesya/AppData/Local/Programs/Python/Python311/python.exe c:/GB/Programmer/Intermediate_test/1.Pyton/test.py; & C:/Users/Olesya/AppData/Local/Programs/Python/Python311/python.exe c:/GB/Programmer/Intermediate_test/1.Pyton/main.py
12; 2023-06-16 13:56:31; запись 8; дыьдот
13; 2023-06-16 13:57:48; pfgbdm 5; sjnkbrkeg
14; 2023-06-16 13:59:16; лдоылрлоп; ывжаьдлцкьтпт
